src_player_id,ActivityMonth,Product,SubProduct,ActivePlayerDays,Bet_Amount,Win_Amount,Gross_Win,Net_Gross_Win
19224064,2/28/2021,eGaming,Non Table Games,6,0,0,0,0
20610950,6/30/2021,eGaming,Non Table Games,2,2105,1976,129,109
13386604,11/30/2020,SportsBook,Prematch,25,96,2,94,79
15855512,5/31/2020,eGaming,Non Table Games,1,1350,953,370,311
12842902,6/30/2019,eGaming,Non Table Games,2,169,110,59,50
13091410,11/30/2019,SportsBook,Livebook,3,70,24,46,39
12763158,2/29/2020,SportsBook,Livebook,21,14511,13912,629,528
16308532,11/30/2020,eGaming,Non Table Games,5,2483,2247,233,195
15032397,2/28/2021,eGaming,Non Table Games,1,30,12,18,15
18044285,11/30/2020,eGaming,Non Table Games,4,90,46,44,37
13800586,11/30/2019,SportsBook,Prematch,5,55,0,55,46
12755096,3/31/2019,SportsBook,Prematch,1,51,0,51,43
19735032,5/31/2021,eGaming,Table Games,1,64,14,50,42
18628358,3/31/2021,eGaming,Non Table Games,7,0,0,0,0
15304824,7/31/2020,eGaming,Non Table Games,4,3266,2917,349,293
14933222,9/30/2020,SportsBook,Livebook,5,40,0,40,34
14715405,1/31/2020,SportsBook,Prematch,3,47,0,47,40
13788593,10/31/2019,eGaming,Table Games,1,34,32,2,2
17441410,1/31/2021,eGaming,Non Table Games,1,56,36,20,17
17231352,2/28/2021,SportsBook,Prematch,4,82,129,-47,-40
18055844,4/30/2021,Lotto,Lotto,19,74,0,74,62
15278789,4/30/2021,eGaming,Non Table Games,11,0,1,-1,-1
13365094,8/31/2020,SportsBook,Livebook,4,61,40,22,18
17771827,1/31/2021,eGaming,Non Table Games,2,0,0,0,0
13346665,7/31/2020,SportsBook,Prematch,4,28,0,28,24
13941640,4/30/2021,eGaming,Non Table Games,17,0,0,0,0
13514729,2/29/2020,eGaming,Non Table Games,16,16410,15397,1013,851
12715574,4/30/2019,SportsBook,Livebook,16,349,275,75,63
18820737,1/31/2021,eGaming,Table Games,1,22100,12000,10100,8484
13617968,1/31/2020,SportsBook,Livebook,5,311,27,284,238
12869033,5/31/2019,eGaming,Non Table Games,1,0,0,0,0
13011271,2/28/2021,Lotto,Lotto,1,1,4,-3,-2
20141005,6/30/2021,eGaming,Non Table Games,17,193,135,58,49
20383650,6/30/2021,eGaming,Non Table Games,3,453,275,178,150
20364236,6/30/2021,SportsBook,Prematch,2,3018,6435,-3417,-2870
12731784,3/31/2019,eGaming,Table Games,1,0,0,0,0
12667285,1/31/2020,SportsBook,Livebook,28,1748,1331,417,350
18750356,1/31/2021,eGaming,Non Table Games,1,295,196,99,83
13585593,9/30/2019,eGaming,Table Games,1,0,0,0,0
12438347,1/31/2019,eGaming,Table Games,1,0,0,0,0
12502892,2/29/2020,SportsBook,Prematch,9,840,1670,-830,-697
12439056,6/30/2021,SportsBook,Prematch,2,15,0,15,13
14994217,3/31/2020,SportsBook,Prematch,8,22,10,14,11
19857865,4/30/2021,eGaming,Non Table Games,3,79,64,15,12
13377160,8/31/2020,SportsBook,Livebook,1,17,10,7,6
12865738,11/30/2019,eGaming,Non Table Games,11,5195,5176,-27,-23
