Src_Player_Id,Signup_Date,acquisition_channel,src_advertiser_id,Gender,Date_Of_Birth,Internal_Player_YN
20025557,4/25/2021 18:28,NA,999999,M ,12/16/1998 0:00,N 
19236180,2/21/2021 8:32,NA,999999,M ,7/14/1992 0:00,N 
19789064,4/6/2021 21:13,NA,999999,M ,3/22/2003 0:00,N 
19976025,4/21/2021 11:01,NA,999999,M ,5/6/1996 0:00,N 
19848001,4/10/2021 20:21,NA,999999,M ,7/11/1988 0:00,N 
20506387,6/13/2021 21:44,NA,999999,M ,3/4/1998 0:00,N 
18590987,12/31/2020 10:38,NA,999999,M ,5/31/1990 0:00,N 
20048026,4/27/2021 19:03,NA,999999,M ,4/25/2003 0:00,N 
19341893,3/1/2021 13:18,NA,999999,M ,2/28/1988 0:00,N 
19800749,4/7/2021 19:09,NA,999999,M ,8/31/1994 0:00,N 
19237959,2/21/2021 11:49,NA,999999,M ,9/11/1987 0:00,N 
13005337,5/5/2019 17:05,NA,999999,M ,12/7/1987 0:00,N 
20416114,6/4/2021 14:50,NA,999999,M ,9/21/2001 0:00,N 
18930110,1/29/2021 0:55,NA,999999,M ,12/17/2002 0:00,N 
18611266,1/1/2021 22:23,NA,999999,M ,12/10/1999 0:00,N 
20462359,6/9/2021 21:03,NA,999999,M ,7/18/1999 0:00,N 
12842950,4/20/2019 13:16,NA,999999,M ,3/18/1998 0:00,N 
20099272,5/2/2021 11:30,NA,999999,M ,2/10/2003 0:00,N 
19882870,4/13/2021 9:38,NA,999999,M ,8/12/1988 0:00,N 
19729826,4/2/2021 5:03,NA,999999,M ,12/15/1986 0:00,N 
19161177,2/15/2021 23:00,NA,999999,M ,12/8/1994 0:00,N 
13067707,5/21/2019 17:43,NA,999999,M ,1/11/1997 0:00,N 
20259386,5/18/2021 10:19,NA,999999,M ,7/27/1992 0:00,N 
18964493,1/31/2021 19:19,NA,999999,M ,8/11/1993 0:00,N 
20759334,7/6/2021 11:28,NA,999999,M ,7/29/1984 0:00,N 
20738660,7/4/2021 5:31,NA,999999,M ,9/15/1996 0:00,N 
18949557,1/30/2021 17:08,NA,999999,M ,3/29/2000 0:00,N 
19658759,3/27/2021 0:38,NA,999999,M ,12/5/1980 0:00,N 
19829683,4/9/2021 19:28,NA,999999,M ,7/26/1984 0:00,N 
12446019,1/27/2019 22:43,NA,999999,M ,1/3/1996 0:00,N 
20493727,6/12/2021 20:39,NA,999999,M ,10/3/1997 0:00,N 
20745956,7/4/2021 21:45,NA,999999,M ,3/15/1984 0:00,N 
19968663,4/20/2021 16:54,NA,999999,M ,7/15/2000 0:00,N 
19557399,3/18/2021 15:35,NA,999999,M ,9/30/1997 0:00,N 
20419113,6/4/2021 20:30,NA,999999,M ,2/23/1994 0:00,N 
19490538,3/13/2021 7:48,NA,999999,M ,4/18/1988 0:00,N 
20227645,5/15/2021 7:48,NA,999999,M ,5/6/1978 0:00,N 
20527756,6/15/2021 19:43,NA,999999,M ,3/4/2003 0:00,N 
20491097,6/12/2021 16:02,NA,999999,M ,6/11/2003 0:00,N 
20749795,7/5/2021 11:59,NA,999999,M ,11/13/1994 0:00,N 
19854692,4/11/2021 9:14,NA,999999,M ,3/14/1979 0:00,N 
20431004,6/6/2021 4:48,NA,999999,M ,2/28/1969 0:00,N 
20486829,6/12/2021 7:56,NA,999999,M ,11/20/2000 0:00,N 
20790176,7/9/2021 12:58,NA,999999,M ,8/13/1988 0:00,N 
19494046,3/13/2021 14:24,NA,999999,M ,10/23/2002 0:00,N 
19934100,4/17/2021 13:36,NA,999999,M ,1/6/1988 0:00,N 
20314287,5/24/2021 10:42,NA,999999,M ,4/11/1988 0:00,N 
20140550,5/6/2021 17:36,NA,999999,M ,7/22/1999 0:00,N 
20782231,7/8/2021 15:50,NA,999999,M ,4/1/1991 0:00,N 
18948099,1/30/2021 15:08,NA,999999,M ,1/1/2000 0:00,N 
18908687,1/27/2021 8:01,NA,999999,M ,4/21/1995 0:00,N 
19738774,4/2/2021 20:16,NA,999999,M ,11/15/1983 0:00,N 
18723620,1/10/2021 20:53,NA,999999,M ,1/28/1984 0:00,N 
20258400,5/18/2021 6:48,NA,999999,M ,2/16/1988 0:00,N 
18551189,12/28/2020 2:16,NA,999999,M ,8/1/2002 0:00,N 
19078870,2/10/2021 13:45,NA,999999,M ,5/4/2002 0:00,N 
20810196,7/11/2021 14:13,NA,999999,M ,4/28/1990 0:00,N 
20439726,6/7/2021 8:10,NA,999999,M ,8/6/2001 0:00,N 
19528410,3/16/2021 8:50,NA,999999,M ,12/8/1977 0:00,N 
20585757,6/20/2021 13:31,NA,999999,M ,12/2/1987 0:00,N 
19552366,3/18/2021 6:53,NA,999999,M ,10/19/1971 0:00,N 
18732100,1/11/2021 17:08,NA,999999,M ,9/28/1982 0:00,N 
19091146,2/11/2021 12:13,NA,999999,M ,1/4/1980 0:00,N 
19722153,4/1/2021 15:46,NA,999999,M ,12/20/1998 0:00,N 
19849939,4/10/2021 21:49,NA,999999,M ,4/2/2001 0:00,N 
18902583,1/26/2021 18:24,NA,999999,M ,10/10/2000 0:00,N 
20329639,5/25/2021 22:46,NA,999999,M ,7/19/1999 0:00,N 
19368872,3/3/2021 19:32,NA,999999,M ,5/5/2001 0:00,N 
20029988,4/26/2021 6:11,NA,999999,M ,12/3/1999 0:00,N 
19908031,4/15/2021 9:39,NA,999999,M ,12/5/1978 0:00,N 
20245271,5/16/2021 19:27,NA,999999,M ,5/27/1981 0:00,N 
18889102,1/25/2021 14:28,NA,999999,M ,6/18/1997 0:00,N 
20742693,7/4/2021 15:47,NA,999999,M ,12/18/1986 0:00,N 
18869116,1/23/2021 18:48,NA,999999,M ,2/10/1999 0:00,N 
19380772,3/4/2021 18:37,NA,999999,M ,6/13/1994 0:00,N 
19155675,2/15/2021 15:57,NA,999999,M ,12/15/1951 0:00,N 
19470731,3/11/2021 19:05,NA,999999,M ,5/27/1980 0:00,N 
18634779,1/3/2021 18:53,NA,999999,M ,11/9/1992 0:00,N 
19180056,2/17/2021 11:51,NA,999999,M ,3/14/1990 0:00,N 
